ID	a2	a3	a8	a14	a15	a1	a4	a5	a6	a7	a9	a10	a11	a12	a13	main-class	main-class-proba	class-1-proba	class-2-proba	class-3-proba	class-4-proba	class-5-proba	class-6-proba	class-7-proba	class-8-proba	class-9-proba
0	30.83	0.0	1.25	202	0	b	u	g	w	v	t	t	1	f	g	2	0.854	0.146	0.854	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	58.67	4.46	3.04	43	560	a	u	g	q	h	t	t	6	f	g	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0	0.0
2	24.5	0.5	1.5	280	824	a	u	g	q	h	t	f	0	f	g	3	0.999	0.0	0.0	0.999	0.0	0.0	0.001	0.0	0.0	0.0
3	27.83	1.54	3.75	100	3	b	u	g	w	v	t	t	5	t	g	2	0.963	0.0	0.963	0.0	0.0	0.0	0.037	0.0	0.0	0.0
4	20.17	5.625	1.71	120	0	b	u	g	w	v	t	f	0	f	s	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	32.08	4.0	2.5	360	0	b	u	g	m	v	t	f	0	t	g	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	33.17	1.04	6.5	164	31285	b	u	g	r	h	t	f	0	t	g	6	0.864	0.0	0.0	0.136	0.0	0.0	0.864	0.0	0.0	0.0
7	22.92	11.585	0.04	80	1349	a	u	g	cc	v	t	f	0	f	g	3	0.999	0.0	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
8	54.42	0.5	3.96	180	314	b	y	p	k	h	t	f	0	f	g	3	0.999	0.0	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
9	42.5	4.915	3.165	52	1442	b	y	p	w	v	t	f	0	t	g	3	0.999	0.0	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
10	22.08	0.83	2.165	128	0	b	u	g	c	h	f	f	0	t	g	1	0.996	0.996	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0
11	29.92	1.835	4.335	260	200	b	u	g	c	h	t	f	0	f	g	3	0.911	0.0	0.0	0.911	0.0	0.0	0.089	0.0	0.0	0.0
12	38.25	6.0	1.0	0	0	a	u	g	k	v	t	f	0	t	g	8	0.999	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.999	0.0
13	48.08	6.04	0.04	0	2690	b	u	g	k	v	f	f	0	f	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
14	45.83	10.5	5.0	0	0	a	u	g	q	v	t	t	7	t	g	8	0.889	0.0	0.0	0.0	0.111	0.0	0.0	0.0	0.889	0.0
15	36.67	4.415	0.25	320	0	b	y	p	k	v	t	t	10	t	g	9	0.997	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.997
16	28.25	0.875	0.96	396	0	b	u	g	m	v	t	t	3	t	g	1	0.881	0.881	0.119	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	23.25	5.875	3.17	120	245	a	u	g	q	v	t	t	10	f	g	2	0.998	0.0	0.998	0.0	0.0	0.0	0.002	0.0	0.0	0.0
18	21.83	0.25	0.665	0	0	b	u	g	d	h	t	f	0	t	g	8	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
19	19.17	8.585	0.75	96	0	a	u	g	cc	h	t	t	7	f	g	2	0.996	0.002	0.996	0.0	0.0	0.0	0.002	0.0	0.0	0.0
20	25.0	11.25	2.5	200	1208	b	u	g	c	v	t	t	17	f	g	2	0.996	0.0	0.996	0.0	0.0	0.0	0.004	0.0	0.0	0.0
21	23.25	1.0	0.835	300	0	b	u	g	c	v	t	f	0	f	s	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	47.75	8.0	7.875	0	1260	a	u	g	c	v	t	t	6	t	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
23	27.42	14.5	3.085	120	11	a	u	g	x	h	t	t	1	f	g	2	0.933	0.0	0.933	0.0	0.0	0.0	0.067	0.0	0.0	0.0
24	41.17	6.5	0.5	145	0	a	u	g	q	v	t	t	3	t	g	1	0.753	0.753	0.246	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	15.83	0.585	1.5	100	0	a	u	g	c	h	t	t	2	f	g	2	0.934	0.066	0.934	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	47.0	13.0	5.165	0	0	a	u	g	i	bb	t	t	9	t	g	8	0.955	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.955	0.0
27	56.58	18.5	15.0	0	0	b	u	g	d	bb	t	t	17	t	g	8	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
28	57.42	8.5	7.0	0	0	b	u	g	e	h	t	t	3	f	g	8	0.985	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.985	0.0
29	42.08	1.04	5.0	500	10000	b	u	g	w	v	t	t	6	t	g	6	0.987	0.0	0.013	0.0	0.0	0.0	0.987	0.0	0.0	0.0
30	29.25	14.79	5.04	168	0	b	u	g	aa	v	t	t	5	t	g	1	0.68	0.68	0.318	0.0	0.0	0.0	0.003	0.0	0.0	0.0
31	42.0	9.79	7.96	0	0	b	u	g	x	h	t	t	8	f	g	4	0.966	0.0	0.0	0.0	0.966	0.0	0.0	0.0	0.034	0.0
32	49.5	7.585	7.585	0	5000	b	u	g	i	bb	t	t	15	t	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
33	36.75	5.125	5.0	0	4000	a	u	g	e	v	t	f	0	t	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
34	22.58	10.75	0.415	0	560	a	u	g	q	v	t	t	5	t	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
35	27.83	1.5	2.0	434	35	b	u	g	w	v	t	t	11	t	g	2	0.968	0.0	0.968	0.0	0.0	0.0	0.032	0.0	0.0	0.0
36	27.25	1.585	1.835	583	713	b	u	g	cc	h	t	t	12	t	g	6	0.855	0.0	0.145	0.0	0.0	0.0	0.855	0.0	0.0	0.0
37	23.0	11.75	0.5	300	551	a	u	g	x	h	t	t	2	t	g	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	27.75	0.585	0.25	260	500	b	y	p	cc	v	t	t	2	f	g	9	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999
39	54.58	9.415	14.415	30	300	b	u	g	ff	ff	t	t	11	t	g	6	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
40	34.17	9.17	4.5	0	221	b	u	g	c	v	t	t	12	t	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
41	28.92	15.0	5.335	0	2283	b	u	g	c	h	t	t	11	f	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
42	29.67	1.415	0.75	240	100	b	u	g	w	h	t	t	1	f	g	2	0.998	0.0	0.998	0.0	0.0	0.0	0.002	0.0	0.0	0.0
43	39.58	13.915	8.625	70	0	b	u	g	w	v	t	t	6	t	g	6	0.988	0.0	0.012	0.0	0.0	0.0	0.988	0.0	0.0	0.0
44	56.42	28.0	28.5	0	15	b	y	p	c	v	t	t	40	f	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
45	54.33	6.75	2.625	0	284	b	u	g	c	h	t	t	11	t	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
46	41.0	2.04	0.125	455	1236	a	y	p	q	h	t	t	23	t	g	9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
47	31.92	4.46	6.04	311	300	b	u	g	cc	h	t	t	3	f	g	6	0.981	0.0	0.019	0.0	0.0	0.0	0.981	0.0	0.0	0.0
48	41.5	1.54	3.5	216	0	b	u	g	i	bb	f	f	0	f	g	1	0.997	0.997	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0
49	23.92	0.665	0.165	100	0	b	u	g	c	v	f	f	0	f	g	1	0.99	0.99	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
50	25.75	0.5	0.875	491	0	a	u	g	c	h	t	f	0	t	g	1	0.999	0.999	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
51	26.0	1.0	1.75	280	0	b	u	g	q	v	t	f	0	t	g	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52	37.42	2.04	0.04	400	5800	b	u	g	w	v	t	f	0	t	g	3	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
53	34.92	2.5	0.0	239	200	b	u	g	w	v	t	f	0	t	g	3	0.999	0.0	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
54	34.25	3.0	7.415	0	0	b	u	g	cc	h	t	f	0	t	g	8	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
55	23.33	11.625	0.835	160	300	b	y	p	w	v	t	f	0	t	g	3	0.999	0.0	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
56	23.17	0.0	0.085	0	0	b	u	g	cc	v	t	f	0	f	g	8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
57	44.33	0.5	5.0	320	0	b	u	g	i	h	t	f	0	t	g	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	35.17	4.5	5.75	711	0	b	u	g	x	h	f	f	0	t	s	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	43.25	3.0	6.0	80	0	b	u	g	q	h	t	t	11	f	g	6	0.982	0.0	0.017	0.0	0.0	0.0	0.982	0.0	0.0	0.0
60	56.75	12.25	1.25	200	0	b	u	g	m	v	t	t	4	t	g	1	0.937	0.937	0.023	0.0	0.0	0.0	0.04	0.0	0.0	0.0
61	31.67	16.165	3.0	250	730	b	u	g	d	v	t	t	9	f	g	6	0.985	0.0	0.015	0.0	0.0	0.0	0.985	0.0	0.0	0.0
62	23.42	0.79	1.5	80	400	a	y	p	q	v	t	t	2	t	g	9	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999
63	20.42	0.835	1.585	0	0	a	u	g	q	v	t	t	1	f	g	8	0.982	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.982	0.0
64	26.67	4.25	4.29	120	0	b	u	g	cc	v	t	t	1	t	g	2	0.697	0.068	0.697	0.0	0.0	0.0	0.235	0.0	0.0	0.0
65	34.17	1.54	1.54	520	50000	b	u	g	cc	v	t	t	1	t	g	2	0.581	0.0	0.581	0.0	0.0	0.0	0.419	0.0	0.0	0.0
66	36.0	1.0	2.0	0	456	a	u	g	c	v	t	t	11	f	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
67	25.5	0.375	0.25	260	15108	b	u	g	m	v	t	t	3	f	g	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68	19.42	6.5	1.46	80	2954	b	u	g	w	h	t	t	7	f	g	2	0.967	0.0	0.967	0.0	0.0	0.0	0.033	0.0	0.0	0.0
69	35.17	25.125	1.625	515	500	b	u	g	x	h	t	t	1	t	g	2	0.69	0.0	0.69	0.0	0.0	0.0	0.31	0.0	0.0	0.0
70	32.33	7.5	1.585	420	0	b	u	g	e	bb	t	f	0	t	s	1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71	38.58	5.0	13.5	980	0	a	u	g	cc	v	t	f	0	t	g	1	0.987	0.987	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0
72	44.25	0.5	10.75	400	0	b	u	g	m	v	t	f	0	f	s	1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73	44.83	7.0	1.625	160	2	b	y	p	c	v	f	f	0	f	g	5	0.525	0.0	0.0	0.475	0.0	0.525	0.0	0.0	0.0	0.0
74	20.67	5.29	0.375	160	0	b	u	g	q	v	t	t	1	f	g	2	0.941	0.059	0.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	34.08	6.5	0.125	443	0	b	u	g	aa	v	t	f	0	t	g	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76	19.17	0.585	0.585	160	0	a	y	p	aa	v	t	f	0	t	g	5	0.998	0.0	0.0	0.002	0.0	0.998	0.0	0.0	0.0	0.0
77	21.67	1.165	2.5	180	20	b	y	p	k	v	t	t	1	f	g	9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
78	21.5	9.75	0.25	140	0	b	u	g	c	v	t	f	0	f	g	1	0.996	0.996	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0
79	49.58	19.0	0.0	94	0	b	u	g	ff	ff	t	t	1	f	g	7	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
80	27.67	1.5	2.0	368	0	a	u	g	m	v	t	f	0	f	s	1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	39.83	0.5	0.25	288	0	b	u	g	m	v	t	f	0	f	s	1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	27.25	0.625	0.455	200	0	b	u	g	aa	v	t	f	0	t	g	1	0.998	0.998	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0
83	37.17	4.0	5.0	280	0	b	u	g	c	bb	t	f	0	t	s	1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84	25.67	2.21	4.0	188	0	b	y	p	aa	v	t	f	0	f	g	5	0.999	0.0	0.0	0.001	0.0	0.999	0.0	0.0	0.0	0.0
85	34.0	4.5	1.0	240	0	b	u	g	aa	v	t	f	0	t	g	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86	49.0	1.5	0.0	100	27	a	u	g	j	j	t	f	0	t	g	7	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
87	62.5	12.75	5.0	112	0	b	y	p	c	h	t	f	0	f	g	5	0.999	0.0	0.0	0.001	0.0	0.999	0.0	0.0	0.0	0.0
88	31.42	15.5	0.5	120	0	b	u	g	c	v	t	f	0	f	g	1	0.998	0.998	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0
89	52.33	1.375	9.46	200	100	b	y	p	c	h	t	f	0	t	g	3	0.999	0.0	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
90	28.75	1.5	1.5	0	225	b	y	p	c	v	t	f	0	t	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
91	28.58	3.54	0.5	171	0	a	u	g	i	bb	t	f	0	t	g	1	0.998	0.998	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0
92	23.0	0.625	0.125	180	1	b	y	p	aa	v	t	f	0	f	g	5	0.991	0.0	0.0	0.009	0.0	0.991	0.0	0.0	0.0	0.0
93	22.5	11.0	3.0	268	0	a	y	p	q	v	t	f	0	t	g	5	0.997	0.0	0.0	0.003	0.0	0.997	0.0	0.0	0.0	0.0
94	28.5	1.0	1.0	167	500	a	u	g	q	v	t	t	2	t	g	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95	37.5	1.75	0.25	164	400	b	y	p	c	bb	t	f	0	t	g	3	0.999	0.0	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0
96	35.25	16.5	4.0	80	0	b	y	p	c	v	t	f	0	f	g	5	0.999	0.0	0.0	0.001	0.0	0.999	0.0	0.0	0.0	0.0
97	18.67	5.0	0.375	0	38	b	u	g	q	v	t	t	2	f	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
98	25.0	12.0	2.25	120	5	b	u	g	k	v	t	t	2	t	g	2	0.945	0.0	0.945	0.0	0.0	0.0	0.055	0.0	0.0	0.0
99	27.83	4.0	5.75	75	0	b	y	p	i	h	t	t	2	t	g	9	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999
100	54.83	15.5	0.0	152	130	b	u	g	e	z	t	t	20	f	g	7	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
101	28.75	1.165	0.5	280	0	b	u	g	k	v	t	f	0	f	s	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102	25.0	11.0	4.5	120	0	a	y	p	aa	v	t	f	0	f	g	5	0.999	0.0	0.0	0.0	0.0	0.999	0.0	0.0	0.0	0.0
103	40.92	2.25	10.0	176	0	b	y	p	x	h	t	f	0	t	g	5	0.999	0.0	0.0	0.0	0.0	0.999	0.0	0.0	0.0	0.0
104	19.75	0.75	0.795	140	5	a	u	g	c	v	t	t	5	t	g	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
105	29.17	3.5	3.5	329	0	b	u	g	w	v	t	t	3	t	g	1	0.669	0.669	0.235	0.0	0.0	0.0	0.096	0.0	0.0	0.0
106	24.5	1.04	0.5	180	147	a	y	p	ff	ff	t	t	3	f	g	9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
107	24.58	12.5	0.875	260	0	b	u	g	w	v	t	f	0	t	g	1	0.997	0.997	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0
108	33.75	0.75	1.0	212	0	a	u	g	k	bb	t	t	3	t	g	1	0.993	0.993	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0
109	20.67	1.25	1.375	140	210	b	y	p	c	h	t	t	3	t	g	9	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999
110	25.42	1.125	1.29	200	0	a	u	g	q	v	t	t	2	f	g	2	0.91	0.09	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111	37.75	7.0	11.5	300	5	b	u	g	q	h	t	t	7	t	g	6	0.988	0.0	0.012	0.0	0.0	0.0	0.988	0.0	0.0	0.0
112	52.5	6.5	6.29	0	11202	b	u	g	k	v	t	t	15	f	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
113	57.83	7.04	14.0	360	1332	b	u	g	m	v	t	t	6	t	g	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0	0.0
114	20.75	10.335	0.335	80	50	a	u	g	cc	h	t	t	1	t	g	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
115	39.92	6.21	0.04	200	300	b	u	g	q	v	t	t	1	f	g	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
116	25.67	12.5	1.21	140	258	b	u	g	cc	v	t	t	67	t	g	2	0.994	0.0	0.994	0.0	0.0	0.0	0.006	0.0	0.0	0.0
117	24.75	12.5	1.5	120	567	a	u	g	aa	v	t	t	12	t	g	2	0.999	0.0	0.999	0.0	0.0	0.0	0.001	0.0	0.0	0.0
118	44.17	6.665	7.375	0	0	a	u	g	q	v	t	t	3	t	g	8	0.986	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.986	0.0
119	23.5	9.0	8.5	120	0	a	u	g	q	v	t	t	5	t	g	2	0.779	0.177	0.779	0.0	0.0	0.0	0.044	0.0	0.0	0.0
120	34.92	5.0	7.5	0	1000	b	u	g	x	h	t	t	6	t	g	4	0.999	0.0	0.0	0.0	0.999	0.0	0.0	0.0	0.0	0.0
121	47.67	2.5	2.5	410	2510	b	u	g	m	bb	t	t	12	t	g	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0	0.0
122	22.75	11.0	2.5	100	809	b	u	g	q	v	t	t	7	t	g	2	0.922	0.0	0.922	0.0	0.0	0.0	0.078	0.0	0.0	0.0
123	34.42	4.25	3.25	274	610	b	u	g	i	bb	t	t	2	f	g	6	0.935	0.0	0.065	0.0	0.0	0.0	0.935	0.0	0.0	0.0
124	28.42	3.5	0.835	280	0	a	u	g	w	v	t	f	0	f	s	1	0.999	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
125	67.75	5.5	13.0	0	0	b	u	g	e	z	t	t	1	t	g	8	0.86	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.86	0.0
126	20.42	1.835	2.25	100	150	b	u	g	c	v	t	t	1	f	g	2	0.999	0.0	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
127	47.42	8.0	6.5	375	51100	a	u	g	e	bb	t	t	6	f	g	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0	0.0
128	36.25	5.0	2.5	0	367	b	u	g	c	bb	t	t	6	f	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
129	32.67	5.5	5.5	408	1000	b	u	g	q	h	t	t	12	t	g	6	0.993	0.0	0.007	0.0	0.0	0.0	0.993	0.0	0.0	0.0
130	48.58	6.5	6.0	350	0	b	u	g	q	h	t	f	0	t	g	1	0.982	0.982	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0
131	39.92	0.54	0.5	200	1000	b	y	p	aa	v	t	t	3	f	g	9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
132	33.58	2.75	4.25	204	0	b	u	g	m	v	t	t	6	f	g	6	0.919	0.012	0.069	0.0	0.0	0.0	0.919	0.0	0.0	0.0
133	18.83	9.5	1.625	40	600	a	u	g	w	v	t	t	6	t	g	2	0.971	0.0	0.971	0.0	0.0	0.0	0.029	0.0	0.0	0.0
134	26.92	13.5	5.0	0	5000	a	u	g	q	h	t	t	2	f	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
135	31.25	3.75	0.625	181	0	a	u	g	cc	h	t	t	9	t	g	2	0.905	0.048	0.905	0.0	0.0	0.0	0.047	0.0	0.0	0.0
136	56.5	16.0	0.0	0	247	a	u	g	j	ff	t	t	15	f	g	7	0.995	0.0	0.0	0.0	0.005	0.0	0.0	0.995	0.0	0.0
137	43.0	0.29	1.75	100	375	b	y	p	cc	h	t	t	8	f	g	9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
138	22.33	11.0	2.0	80	278	b	u	g	w	v	t	t	1	f	g	2	0.993	0.0	0.993	0.0	0.0	0.0	0.007	0.0	0.0	0.0
139	27.25	1.665	5.085	399	827	b	u	g	cc	h	t	t	9	f	g	6	0.963	0.0	0.037	0.0	0.0	0.0	0.963	0.0	0.0	0.0
140	32.83	2.5	2.75	160	2072	b	u	g	cc	h	t	t	6	f	g	6	0.987	0.0	0.013	0.0	0.0	0.0	0.987	0.0	0.0	0.0
141	23.25	1.5	2.375	0	582	b	u	g	q	v	t	t	3	t	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
142	40.33	7.54	8.0	0	2300	a	y	p	q	h	t	t	14	f	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
143	30.5	6.5	4.0	0	3065	a	u	g	c	bb	t	t	7	t	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
144	52.83	15.0	5.5	0	2200	a	u	g	c	v	t	t	14	f	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
145	46.67	0.46	0.415	440	6	a	u	g	cc	h	t	t	11	t	g	2	0.998	0.0	0.998	0.0	0.0	0.0	0.002	0.0	0.0	0.0
146	58.33	10.0	4.0	0	1602	a	u	g	q	v	t	t	14	f	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
147	37.33	6.5	4.25	93	0	b	u	g	m	h	t	t	12	t	g	6	0.992	0.001	0.007	0.0	0.0	0.0	0.992	0.0	0.0	0.0
148	23.08	2.5	1.085	60	2184	b	u	g	c	v	t	t	11	t	g	2	0.999	0.0	0.999	0.0	0.0	0.0	0.001	0.0	0.0	0.0
149	32.75	1.5	5.5	0	0	b	u	g	cc	h	t	t	3	t	g	8	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0
150	21.67	11.5	0.0	0	0	a	y	p	j	j	t	t	11	t	g	7	0.998	0.0	0.0	0.0	0.0	0.0	0.0	0.998	0.002	0.0
151	28.5	3.04	2.54	70	0	a	y	p	x	h	t	t	1	f	g	9	0.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999
152	68.67	15.0	0.0	0	3376	a	u	g	e	z	t	t	14	f	g	4	0.999	0.0	0.0	0.0	0.999	0.0	0.0	0.001	0.0	0.0
153	28.0	2.0	4.165	181	0	b	u	g	k	h	t	t	2	t	g	1	0.462	0.462	0.276	0.0	0.0	0.0	0.262	0.0	0.0	0.0
154	34.08	0.08	0.04	280	2000	b	y	p	m	bb	t	t	1	t	g	9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
155	27.67	2.0	1.0	140	7544	b	u	g	x	h	t	t	4	f	g	2	0.993	0.0	0.993	0.0	0.0	0.0	0.007	0.0	0.0	0.0
156	44.0	2.0	1.75	0	15	b	u	g	m	v	t	t	2	t	g	4	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
157	25.08	1.71	1.665	395	20	b	u	g	x	v	t	t	1	t	g	2	0.996	0.0	0.996	0.0	0.0	0.0	0.004	0.0	0.0	0.0
158	32.0	1.75	0.04	393	0	b	y	p	e	h	t	f	0	t	g	5	0.999	0.0	0.0	0.0	0.0	0.999	0.0	0.0	0.0	0.0
159	60.58	16.5	11.0	21	10561	a	u	g	q	v	t	f	0	t	g	6	0.999	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0	0.0
160	40.83	10.0	1.75	29	837	a	u	g	q	h	t	f	0	f	g	6	0.972	0.0	0.0	0.028	0.0	0.0	0.972	0.0	0.0	0.0
