ID	a1	a4	a5	a6	a7	a9	a10	a11	a12	a13
327	b	u	g	i	bb	f	f	0	f	g
328	b	u	g	k	v	f	f	0	t	g
329	b	u	g	e	z	f	f	0	f	g
330	b	y	p	c	bb	f	f	0	f	g
331	b	u	g	c	v	t	t	3	t	g
332	b	u	g	w	v	f	t	1	t	g
333	a	u	g	j	j	f	f	0	t	g
334	b	y	p	ff	ff	f	f	0	f	g
335	b	y	p	m	v	f	f	0	t	g
336	b	u	g	d	v	f	f	0	t	s
337	b	u	g	i	v	f	f	0	t	g
338	a	u	g	aa	v	f	t	2	t	g
339	b	u	g	d	v	f	f	0	f	g
340	a	u	g	q	v	f	f	0	t	g
341	b	u	g	d	v	f	f	0	t	g
342	a	u	g	ff	ff	f	f	0	f	g
343	a	u	g	k	v	f	f	0	t	s
344	b	u	g	ff	ff	f	f	0	t	g
345	b	u	g	k	ff	f	f	0	f	g
346	b	y	p	k	v	f	f	0	f	s
347	b	u	g	e	dd	f	t	2	f	g
348	b	u	g	m	v	f	t	1	t	g
349	a	u	g	aa	v	f	f	0	f	g
350	b	y	p	m	v	f	f	0	f	s
351	a	y	p	k	h	f	f	0	t	g
352	b	y	p	r	n	f	f	0	t	g
353	b	y	p	w	v	f	f	0	t	g
354	b	u	g	e	dd	f	f	0	t	g
355	a	u	g	k	h	f	f	0	t	s
356	b	u	g	w	v	f	f	0	f	g
357	a	y	p	e	dd	f	f	0	f	g
358	b	u	g	d	v	f	f	0	f	g
359	b	y	p	c	v	f	f	0	t	s
360	b	u	g	i	bb	f	f	0	t	g
361	b	u	g	i	bb	f	f	0	t	s
362	b	u	g	i	bb	f	f	0	t	g
363	a	u	g	c	v	f	f	0	f	g
364	a	y	p	i	bb	f	f	0	f	g
365	a	y	p	ff	ff	f	f	0	t	g
366	b	u	g	k	v	f	f	0	t	g
367	b	y	p	c	v	f	f	0	t	g
368	b	y	p	aa	v	f	f	0	t	g
369	b	u	g	c	v	f	f	0	t	s
370	b	u	g	i	bb	f	f	0	t	g
371	b	u	g	m	v	f	f	0	f	s
372	b	u	g	e	v	f	f	0	f	g
373	b	u	g	i	bb	f	f	0	f	g
374	b	u	g	aa	bb	f	f	0	t	g
375	b	u	g	m	v	f	f	0	t	g
376	b	y	p	w	v	f	f	0	f	g
377	a	u	g	d	v	f	f	0	t	g
378	b	y	p	x	h	f	f	0	f	g
379	a	y	p	ff	ff	f	f	0	f	g
380	b	y	p	k	h	f	f	0	t	g
381	b	u	g	c	v	f	f	0	f	g
382	b	y	p	j	v	f	f	0	f	g
383	b	u	g	c	v	f	f	0	f	g
384	a	u	g	i	bb	f	f	0	t	g
385	a	u	g	q	v	f	f	0	f	s
386	b	y	p	i	bb	f	f	0	t	g
387	a	u	g	ff	ff	f	f	0	f	s
388	a	y	p	c	v	f	t	1	f	g
389	b	u	g	w	v	f	t	1	f	g
390	b	u	g	q	v	f	t	4	f	g
391	b	u	g	ff	ff	f	t	5	f	g
392	b	u	g	c	v	f	t	1	f	g
393	a	u	g	i	v	f	f	0	f	g
394	b	u	g	i	bb	f	f	0	f	s
395	b	u	g	k	v	f	f	0	t	g
396	a	y	p	ff	ff	f	f	0	f	g
397	b	y	p	k	v	f	f	0	f	g
398	b	u	g	c	v	f	f	0	t	g
399	b	u	g	c	v	f	t	2	f	g
400	a	y	p	ff	ff	f	f	0	t	g
401	b	u	g	i	v	f	f	0	t	g
402	b	u	g	q	v	f	f	0	f	g
403	b	u	g	w	v	f	f	0	f	g
404	b	u	g	cc	v	f	f	0	f	g
405	b	u	g	c	v	f	f	0	f	p
406	b	u	g	c	v	f	f	0	f	g
407	a	u	g	w	v	f	f	0	t	g
408	b	u	g	e	v	f	f	0	f	g
409	b	u	g	ff	ff	f	f	0	f	g
410	b	y	p	cc	v	f	f	0	f	g
411	b	y	p	ff	ff	f	f	0	f	g
412	b	y	p	c	v	f	f	0	f	g
413	b	u	g	k	v	f	f	0	t	g
414	b	u	g	aa	v	f	f	0	f	g
415	b	u	g	c	v	f	f	0	t	g
416	b	y	p	ff	ff	f	t	4	f	g
417	b	u	g	ff	ff	f	t	3	f	g
418	a	u	g	ff	ff	f	f	0	t	s
419	a	u	g	ff	ff	f	t	1	f	g
420	b	u	g	k	v	f	t	2	t	g
421	b	u	g	k	v	f	t	11	f	s
422	b	u	g	ff	ff	f	t	2	f	g
423	b	y	p	m	v	f	f	0	t	s
424	b	u	g	k	v	f	f	0	t	g
425	a	y	p	j	ff	f	f	0	f	g
426	b	u	g	c	v	f	f	0	f	g
427	a	u	g	ff	ff	f	f	0	f	g
428	b	u	g	ff	ff	f	t	1	f	g
429	b	u	g	c	v	f	f	0	f	g
430	b	u	g	c	v	f	f	0	f	g
431	b	u	g	q	v	f	f	0	f	g
432	b	u	g	d	v	f	f	0	t	g
433	b	u	g	w	v	f	f	0	f	g
434	b	y	p	c	v	f	f	0	f	g
435	b	u	g	i	bb	f	f	0	f	g
436	b	y	p	c	v	f	f	0	t	g
437	a	y	p	c	v	f	f	0	f	g
438	b	u	g	m	v	f	t	4	f	g
439	b	u	g	c	v	f	f	0	f	g
440	a	u	g	ff	ff	f	t	10	f	g
441	a	u	g	j	j	f	t	1	f	g
442	a	u	g	m	v	f	t	1	t	g
443	b	u	g	c	v	f	t	2	t	g
444	a	u	g	w	h	f	t	3	f	g
445	b	u	g	k	v	f	f	0	f	g
446	b	u	g	i	h	f	f	0	t	g
447	a	u	g	k	h	f	f	0	f	g
448	b	y	p	i	h	f	f	0	f	g
449	b	u	g	i	v	f	f	0	f	g
450	b	y	p	i	v	f	f	0	t	g
451	b	u	g	c	v	f	f	0	f	g
452	b	u	g	d	v	f	f	0	t	g
453	b	u	g	i	h	f	f	0	t	g
454	b	y	p	i	h	f	f	0	t	s
455	b	u	g	i	v	f	f	0	f	g
456	a	u	g	i	v	f	t	6	t	g
457	b	y	p	k	v	f	t	1	t	g
458	a	u	g	aa	v	f	t	10	t	g
459	b	y	p	c	v	f	t	2	f	g
460	b	u	g	m	v	f	f	0	f	s
461	b	y	p	ff	ff	f	t	2	f	g
462	b	y	p	k	v	f	f	0	f	g
463	b	y	p	aa	v	f	f	0	t	g
464	b	y	p	ff	ff	f	f	0	t	g
465	a	u	g	q	h	t	t	1	f	g
466	b	u	g	q	v	t	t	2	t	g
467	b	u	g	m	v	t	t	14	f	g
468	a	u	g	c	h	t	f	0	f	g
469	a	y	p	c	h	t	f	0	f	g
470	b	u	g	w	v	t	f	0	f	g
471	a	u	g	x	h	t	f	0	t	g
472	b	u	g	c	v	t	t	3	t	g
473	b	u	g	c	v	t	t	5	t	g
474	b	u	g	c	v	t	t	3	f	g
475	b	u	g	cc	v	t	t	10	t	g
476	a	u	g	ff	ff	t	t	1	f	g
477	b	u	g	x	v	t	t	2	f	g
478	a	u	g	c	v	t	t	1	t	g
479	b	u	g	c	v	t	t	16	f	g
480	a	u	g	aa	v	t	t	2	f	g
481	a	u	g	q	h	t	t	19	f	g
482	a	u	g	c	v	t	t	1	f	g
483	b	y	p	w	v	t	t	1	t	g
484	b	y	p	w	v	t	t	2	t	g
485	a	u	g	j	j	t	f	0	f	g
486	a	u	g	c	v	t	f	0	f	g
487	b	u	g	e	dd	t	f	0	f	g
488	b	y	p	c	h	t	f	0	f	g
489	a	u	g	aa	v	t	t	4	f	g
490	b	u	g	c	v	t	t	5	t	g
491	a	u	g	q	v	t	t	4	f	g
492	b	u	g	x	v	t	t	5	t	g
493	a	u	g	e	dd	t	t	5	t	g
494	b	u	g	m	v	t	t	1	f	g
495	a	u	g	q	v	t	t	10	f	g
496	a	u	g	q	v	t	f	0	t	g
497	b	u	g	c	v	t	f	0	t	g
498	b	u	g	k	v	t	f	0	f	g
499	a	u	g	i	bb	t	f	0	t	g
500	a	u	g	k	h	t	t	3	t	g
501	b	u	g	q	h	t	t	1	f	g
502	a	u	g	c	h	t	f	0	t	g
503	a	u	g	aa	h	t	f	0	f	g
504	b	u	g	i	bb	t	f	0	f	g
505	b	u	g	ff	ff	t	f	0	f	g
506	b	u	g	aa	v	t	f	0	t	g
507	a	y	p	ff	ff	t	f	0	f	g
508	a	u	g	ff	ff	t	f	0	f	g
509	b	u	g	x	h	t	f	0	t	g
510	b	u	g	w	bb	t	f	0	t	g
511	b	y	p	cc	v	t	f	0	t	g
512	b	u	g	i	bb	t	f	0	f	g
513	b	y	p	k	h	t	f	0	t	g
514	b	u	g	w	v	t	f	0	t	g
515	b	y	p	i	bb	t	t	10	t	g
516	b	y	p	d	v	t	f	0	f	s
517	b	y	p	w	v	t	t	6	t	g
518	b	u	g	d	h	t	t	6	f	g
519	b	u	g	x	v	t	t	7	t	g
520	b	u	g	m	v	t	f	0	f	s
521	b	u	g	e	z	t	t	1	t	g
522	b	u	g	i	bb	t	t	11	f	g
523	b	u	g	r	n	t	t	9	t	g
524	b	u	g	w	v	t	t	14	f	g
525	a	y	p	x	h	t	t	4	f	g
526	b	u	g	c	h	t	t	6	f	g
527	b	u	g	w	v	t	t	2	t	g
528	a	u	g	w	v	t	t	16	f	g
529	b	u	g	x	h	t	f	0	f	g
530	a	u	g	q	h	t	t	7	t	g
531	a	u	g	cc	h	t	t	6	f	g
532	b	u	g	x	h	t	f	0	f	g
533	b	u	g	c	h	t	f	0	f	g
534	b	u	g	q	h	t	f	0	t	g
535	b	u	g	q	h	t	f	0	t	g
536	a	u	g	aa	v	t	f	0	f	g
537	b	u	g	w	h	t	t	11	t	g
538	a	u	g	x	h	t	f	0	f	g
539	b	y	p	c	v	t	t	8	t	g
540	a	u	g	aa	v	t	t	4	f	g
541	b	u	g	w	v	t	t	5	t	g
542	b	y	p	d	v	t	t	8	t	g
543	b	y	p	x	v	t	t	1	t	g
544	a	u	g	ff	ff	t	t	11	t	g
545	a	u	g	c	h	t	t	4	f	g
546	b	y	p	c	h	t	t	1	t	g
547	b	u	g	c	v	t	t	11	f	g
548	b	u	g	c	v	t	t	3	f	g
549	b	u	g	c	v	t	t	10	f	g
550	b	u	g	m	v	t	t	5	t	g
551	b	u	g	x	v	t	t	8	t	g
552	b	u	g	e	v	f	t	1	f	s
553	b	u	g	m	v	t	f	0	t	g
554	b	y	p	w	h	t	f	0	t	g
555	a	y	p	e	z	t	f	0	f	g
556	b	u	g	ff	ff	t	f	0	t	g
557	b	u	g	x	h	t	t	9	t	g
558	b	u	g	c	v	t	t	9	f	g
559	b	y	p	c	v	t	t	5	t	g
560	b	u	g	c	v	t	t	7	t	g
561	b	u	g	cc	v	t	t	8	f	g
562	b	u	g	c	h	t	t	3	t	g
563	b	u	g	w	v	f	f	0	t	g
564	b	u	g	k	v	t	f	0	t	g
565	b	u	g	c	bb	t	f	0	f	g
566	a	u	g	c	v	t	t	8	t	g
567	a	u	g	aa	v	t	t	3	f	g
568	b	u	g	c	v	t	t	11	t	g
569	a	u	g	k	v	t	t	4	f	g
570	b	y	p	k	v	f	f	0	f	g
571	b	u	g	q	v	f	f	0	f	g
572	b	u	g	c	h	t	f	0	f	g
573	a	y	p	k	v	f	f	0	t	g
574	b	u	g	c	v	f	f	0	f	g
575	b	u	g	k	v	f	f	0	t	g
576	b	u	g	x	bb	f	f	0	t	g
577	b	y	p	k	v	f	f	0	f	g
578	b	y	p	q	h	f	t	2	t	g
579	b	u	g	w	v	f	t	1	f	g
580	b	u	g	c	bb	f	t	2	t	g
581	a	u	g	c	v	f	f	0	f	g
582	b	u	g	c	h	f	t	2	t	g
583	b	u	g	i	v	f	t	1	t	g
584	b	y	p	ff	ff	f	t	2	f	g
585	b	u	g	m	v	f	t	1	t	g
586	b	y	p	aa	v	t	f	0	f	g
587	b	u	g	i	v	f	f	0	f	g
588	b	u	g	c	j	f	f	0	t	s
589	b	u	g	q	v	f	f	0	f	g
590	b	y	p	cc	v	f	f	0	f	g
591	b	u	g	c	v	f	f	0	f	s
592	b	u	g	ff	ff	f	f	0	f	g
593	b	u	g	d	h	f	f	0	f	g
594	a	u	g	w	v	f	f	0	f	g
595	a	u	g	q	v	f	f	0	t	g
596	a	u	g	m	h	f	t	1	t	g
597	a	u	g	ff	ff	f	f	0	f	g
598	b	y	p	k	ff	f	f	0	f	g
599	a	u	g	w	v	f	t	1	t	g
600	b	u	g	c	n	f	t	2	t	g
601	b	y	p	m	v	f	f	0	t	g
602	b	u	g	aa	v	f	f	0	f	g
603	b	u	g	aa	v	f	f	0	t	g
604	b	u	g	k	v	f	f	0	t	g
605	b	u	g	i	bb	f	f	0	t	g
606	b	y	p	aa	v	f	f	0	t	g
607	a	u	g	aa	h	f	f	0	f	g
608	b	y	p	w	v	f	f	0	t	g
609	b	u	g	cc	v	f	f	0	t	g
610	a	u	g	c	v	f	f	0	f	g
611	b	u	g	aa	v	f	f	0	t	g
612	b	u	g	k	h	f	f	0	t	g
613	a	u	g	ff	ff	f	t	6	f	g
614	b	u	g	i	bb	f	f	0	f	g
615	a	u	g	q	v	f	t	1	t	g
616	a	u	g	i	v	f	f	0	t	s
617	b	u	g	i	v	t	f	0	t	g
618	a	u	g	q	v	f	t	1	t	g
619	a	y	p	ff	ff	f	f	0	f	g
620	b	u	g	c	h	f	t	1	t	g
621	a	u	g	aa	v	f	f	0	f	g
622	a	u	g	c	v	f	f	0	f	g
623	a	u	g	c	v	f	t	1	t	g
624	b	u	g	aa	v	f	f	0	f	g
625	b	u	g	c	v	f	f	0	f	g
626	a	u	g	w	v	f	f	0	t	g
627	b	y	p	cc	v	f	f	0	t	g
628	b	y	p	w	v	f	f	0	f	s
629	b	y	p	m	v	f	f	0	f	g
630	a	u	g	c	v	f	f	0	t	g
631	a	u	g	c	v	f	t	1	t	g
632	b	u	g	d	h	f	f	0	t	s
633	b	y	p	ff	ff	f	f	0	f	g
634	b	u	g	w	v	f	f	0	f	g
635	b	u	g	cc	v	f	f	0	f	g
636	a	u	g	aa	v	f	f	0	t	g
637	a	u	g	i	h	f	f	0	f	g
638	a	u	g	aa	v	f	f	0	f	g
639	a	u	g	q	h	f	t	12	t	g
640	b	u	g	m	v	f	t	1	f	g
641	a	u	g	ff	ff	f	f	0	f	g
642	a	u	g	c	v	f	f	0	f	g
643	b	u	g	k	v	f	f	0	f	g
644	b	y	p	d	h	f	f	0	f	g
645	b	u	g	i	v	f	f	0	t	g
646	b	y	p	d	v	f	f	0	f	g
647	b	u	g	m	v	f	f	0	t	s
648	b	y	p	e	h	f	f	0	f	g
649	a	u	g	c	v	f	t	2	t	g
650	a	y	p	ff	ff	f	t	1	t	g
651	b	u	g	aa	v	f	f	0	f	g
652	b	u	g	c	h	f	f	0	t	g
