ID	a1	a2	a3	a4	a5
0	113	28	male	a	a
1	101	28	male	b	b
2	110	69	male	c	a
3	121	57	male	d	a
4	82	18	male	e	c
5	85	28	male	e	c
6	98	43	male	f	c
7	92	33	male	e	c
8	90	18	male	b	b
9	88	28	male	e	c
10	84	18	male	e	c
11	114	18	male	g	a
12	70	57	male	e	c
13	109	40	male	c	a
14	83	43	male	e	c
15	108	69	male	e	c
16	95	43	male	a	a
17	90	28	male	e	c
18	107	28	male	c	a
19	86	18	male	b	b
20	70	43	male	f	c
21	117	42	male	c	a
22	112	43	male	c	a
23	106	42	male	g	a
24	125	28	male	g	a
25	123	46	male	c	a
26	100	35	male	e	c
27	90	27	male	a	a
28	70	51	male	e	c
29	90	46	male	a	a
30	123	43	male	a	a
31	127	43	male	c	a
32	124	62	male	c	a
33	110	27	male	h	c
34	94	43	male	c	a
35	112	40	male	c	a
36	123	35	male	c	a
37	70	18	male	a	a
38	102	43	male	e	c
39	126	27	male	g	a
40	121	40	male	c	a
41	100	43	male	f	c
42	85	31	male	f	c
43	86	31	male	e	c
44	101	28	male	f	c
45	91	40	male	d	a
46	113	43	male	c	a
47	103	33	male	e	c
48	117	18	male	i	a
49	72	43	male	f	c
50	70	18	male	b	b
51	112	18	male	a	a
52	65	18	male	b	b
53	97	35	male	d	a
54	100	43	male	e	c
55	99	18	male	e	c
56	91	28	male	f	c
57	94	43	male	f	c
58	104	36	male	d	a
59	104	43	male	d	a
60	123	35	female	i	a
61	103	43	female	d	a
62	109	43	female	e	c
63	99	61	female	d	a
64	100	47	female	g	a
65	100	62	female	d	a
66	107	40	female	c	a
67	70	18	female	b	b
68	91	30	female	d	a
69	117	43	female	c	a
70	115	57	female	c	a
71	93	43	female	d	a
72	103	30	female	c	a
73	99	57	female	d	a
74	115	36	female	a	a
75	104	38	female	c	a
76	116	47	female	d	a
77	94	51	female	a	a
78	114	43	female	g	a
79	113	18	female	d	a
80	119	57	female	c	a
81	114	48	female	c	a
82	108	27	female	c	a
83	97	46	female	a	a
84	83	28	female	b	b
85	103	43	female	d	a
86	104	64	female	d	a
87	97	18	female	d	a
88	109	69	female	d	a
89	90	33	female	d	a
90	114	28	female	e	c
91	99	38	female	d	a
92	94	35	female	c	a
93	86	28	female	d	a
94	93	35	female	c	a
95	91	28	female	e	c
96	109	40	female	i	a
97	91	28	female	d	a
98	106	28	female	e	c
99	109	43	female	c	a
100	111	51	female	d	a
101	86	40	female	e	c
102	107	18	female	a	a
103	103	28	female	b	b
104	100	18	female	a	a
105	101	38	female	d	a
106	97	36	female	f	c
107	105	46	female	e	c
108	98	37	female	f	c
109	111	18	female	d	a
110	88	57	female	a	a
111	123	28	female	d	a
112	98	33	female	d	a
113	94	43	female	e	c
114	109	28	female	d	a
115	70	18	female	b	b
116	75	33	female	f	c
117	72	18	female	c	a
118	70	18	female	f	c
119	70	18	female	b	b
120	70	18	female	b	b
121	70	18	female	b	b
122	85	18	female	b	b
123	108	28	female	e	c
124	75	28	female	f	c
125	103	38	female	d	a
126	122	38	female	g	a
127	110	40	female	c	a
128	107	40	male	c	a
129	104	75	male	g	a
130	70	58	male	d	a
131	103	43	male	b	b
132	95	43	male	c	a
133	126	61	male	f	c
134	118	71	male	c	a
135	115	27	male	c	a
136	89	43	male	f	c
137	113	61	male	g	a
138	85	37	male	c	a
139	95	43	male	c	a
140	109	57	male	g	a
141	111	69	male	c	a
142	116	75	male	c	a
143	90	43	male	h	c
144	90	28	male	f	c
145	82	31	male	b	b
146	117	28	male	h	c
147	71	40	male	h	c
148	104	69	male	j	a
149	86	18	male	f	c
150	79	46	male	e	c
151	80	65	male	e	c
152	99	18	male	c	a
153	86	61	male	f	c
154	116	18	male	g	a
155	124	65	male	c	a
156	98	28	male	b	b
157	101	35	male	d	a
158	87	43	male	b	b
159	97	40	male	g	a
160	120	43	male	g	a
161	103	43	male	c	a
162	107	40	male	c	a
163	105	57	male	i	a
164	99	37	male	c	c
165	103	28	male	c	c
166	101	28	male	a	a
167	102	18	female	d	a
168	105	18	female	c	c
169	70	18	female	f	c
170	101	43	female	g	a
171	90	42	female	c	c
172	85	43	female	c	a
173	104	18	female	c	a
174	87	18	female	c	c
175	85	37	female	c	a
176	102	42	female	e	c
177	94	37	female	d	a
178	93	37	female	c	a
179	99	37	female	g	a
180	103	38	female	c	a
181	89	18	female	d	a
182	92	37	female	e	c
183	109	43	female	c	a
184	91	18	female	d	a
185	109	58	female	c	a
186	105	57	female	a	a
187	105	18	female	c	a
188	90	69	female	d	a
189	99	69	female	g	a
190	110	37	female	c	a
191	88	37	female	c	a
192	101	66	female	c	a
193	91	18	female	f	c
194	78	18	female	c	a
195	118	65	female	g	a
196	100	28	female	b	b
197	100	18	female	e	c
198	85	57	female	c	a
199	106	61	female	g	a
200	97	18	female	f	c
201	92	18	female	f	c
202	102	38	female	b	b
203	86	18	female	f	c
204	78	46	female	c	a
205	100	18	female	f	c
206	104	61	male	c	a
207	70	31	male	d	a
208	107	75	male	c	a
209	114	37	male	c	a
210	103	31	male	f	c
211	115	37	male	d	a
212	106	57	male	c	a
213	114	61	male	c	a
214	90	58	male	c	a
215	103	37	male	c	a
216	92	58	male	a	a
217	113	37	male	g	a
218	92	37	male	d	a
219	108	37	male	g	a
220	96	18	male	a	a
221	70	18	male	a	a
222	112	75	male	c	a
223	106	28	male	c	a
224	91	37	male	c	a
225	96	18	male	e	c
226	70	18	male	b	b
227	109	57	male	c	a
228	74	37	male	e	c
229	99	43	male	a	a
230	107	37	male	c	a
231	90	37	male	d	a
232	78	31	male	e	c
233	70	37	male	b	b
234	88	58	male	f	c
235	93	18	male	e	c
236	88	43	male	f	c
237	108	58	male	c	a
238	101	57	male	g	a
239	98	28	male	f	c
240	103	35	male	c	a
241	73	37	male	c	a
242	102	37	male	e	c
243	93	37	male	f	c
244	93	18	male	f	c
245	101	61	male	c	a
246	100	37	male	h	c
247	70	31	male	b	b
248	102	18	male	f	c
249	113	28	male	e	c
250	91	37	male	d	a
251	109	37	male	d	a
252	80	58	male	b	b
253	118	18	male	c	c
254	70	58	male	b	b
255	88	37	male	e	c
256	72	37	male	e	c
257	81	58	male	c	a
258	70	37	male	f	c
259	97	18	male	f	c
260	87	40	male	c	a
261	99	18	male	e	c
262	81	18	male	b	b
263	84	18	male	e	c
264	90	58	male	f	c
265	95	37	male	c	a
266	84	61	male	f	c
267	104	40	male	h	c
268	105	31	male	f	c
269	107	58	male	a	a
270	84	40	male	f	c
271	70	18	male	h	c
272	99	37	male	g	a
273	87	18	male	c	a
274	81	18	male	b	b
275	103	43	male	c	a
276	114	37	male	c	a
277	101	35	male	c	a
278	70	58	male	b	b
279	78	58	male	c	c
280	70	37	male	b	b
281	70	58	male	e	c
282	104	37	male	c	a
283	86	18	male	b	b
284	99	35	male	e	c
285	98	58	male	e	c
286	118	18	male	e	c
287	102	18	male	a	a
288	106	37	male	e	c
289	108	35	male	e	c
290	110	37	male	h	c
291	110	37	male	e	c
292	89	28	male	h	c
293	83	18	male	e	c
294	96	37	male	d	a
295	113	65	male	g	a
296	95	37	male	c	a
297	108	38	male	e	c
298	96	28	male	d	a
299	79	61	male	i	a
300	99	37	female	d	a
301	107	37	female	g	a
302	94	37	female	f	c
303	88	37	female	d	a
304	82	57	female	d	a
305	100	57	female	c	a
306	102	40	female	c	a
307	111	58	female	c	a
308	111	57	female	c	a
309	94	58	female	b	b
310	94	18	female	c	a
311	93	18	female	e	c
312	90	58	female	c	a
313	84	18	female	d	a
314	100	27	female	e	c
315	106	51	female	c	a
316	114	57	female	j	a
317	115	43	female	c	a
318	108	58	female	c	a
319	117	51	female	g	a
320	110	28	female	d	a
321	93	43	female	c	a
322	117	37	female	g	a
323	102	40	female	c	a
324	84	18	female	c	a
325	94	28	female	a	a
326	81	37	female	c	a
327	101	18	female	d	a
328	91	37	female	c	a
329	93	38	female	c	a
330	116	18	female	c	a
331	90	57	female	c	a
332	115	35	female	c	a
333	89	18	female	b	b
334	108	37	female	g	a
335	100	18	female	c	a
336	86	37	female	e	c
337	84	37	female	d	a
338	90	37	female	e	c
339	103	28	female	g	a
340	100	57	female	c	a
341	102	43	female	c	a
342	82	35	female	d	a
343	83	37	female	d	a
344	113	37	female	c	a
345	117	57	female	g	a
346	111	18	female	c	a
347	100	37	female	c	a
348	91	58	female	g	a
349	97	58	female	c	a
350	109	43	female	j	a
351	100	37	female	a	a
352	98	37	female	d	a
353	85	35	female	i	a
354	91	18	female	b	b
355	85	31	female	d	a
356	81	37	female	c	a
357	87	37	female	c	a
358	95	37	female	g	a
359	102	37	female	a	a
360	94	38	female	b	b
361	89	37	female	i	a
362	112	37	female	f	c
363	118	37	female	c	a
364	70	37	female	i	a
365	103	37	female	g	a
366	90	37	female	c	a
367	97	37	female	c	a
368	104	37	female	h	c
369	91	37	female	f	c
370	94	37	female	e	c
371	107	57	female	a	a
372	90	37	female	a	a
373	70	37	female	c	a
374	97	37	female	e	c
375	104	18	female	d	a
376	96	28	female	d	a
377	81	18	female	f	c
378	114	28	female	c	a
379	106	18	female	e	c
380	105	18	female	c	a
381	92	28	female	f	c
382	96	38	female	c	a
383	84	18	female	e	c
384	89	18	female	f	c
385	111	58	female	c	a
386	102	18	female	e	c
387	99	37	female	e	c
388	104	37	female	a	a
389	70	31	female	e	c
390	70	35	female	e	c
391	90	18	female	f	c
392	104	18	female	c	a
393	102	37	female	c	a
394	86	37	female	c	a
395	73	35	female	c	a
396	81	37	female	d	a
397	93	57	female	c	a
398	111	37	female	i	a
399	104	18	female	a	a
400	105	28	female	d	a
401	73	37	female	d	a
402	85	28	female	c	a
403	107	61	female	g	a
404	112	62	female	g	a
405	127	40	male	g	a
406	114	66	male	d	a
407	114	71	male	c	a
408	109	18	male	f	c
409	93	51	male	c	a
410	114	40	female	c	a
411	100	31	female	c	a
412	92	18	female	a	a
413	110	61	female	c	a
414	93	37	female	e	c
415	96	43	female	f	c
416	114	75	male	g	a
417	127	40	male	g	a
418	106	75	male	c	a
419	110	53	male	c	a
420	92	38	male	h	c
421	125	71	male	g	a
422	108	71	male	c	a
423	112	18	female	c	a
424	93	69	female	c	a
425	114	75	female	c	a
426	104	18	female	c	a
427	92	75	female	c	a
428	104	43	female	d	a
429	109	71	female	c	a
430	109	40	female	g	a
431	104	18	female	d	a
432	123	36	male	h	c
433	125	31	male	g	a
434	127	37	male	g	a
435	129	43	male	g	a
436	119	69	male	j	a
437	125	71	male	e	c
438	121	37	male	c	a
439	124	36	male	c	a
440	125	18	male	c	a
441	129	18	male	d	a
442	122	62	male	c	a
443	121	37	male	j	a
444	122	40	male	c	a
445	126	51	male	e	c
446	122	35	male	g	a
447	123	65	male	c	a
448	119	71	male	g	a
449	120	40	female	g	a
450	127	35	female	f	c
451	127	62	female	c	a
452	120	61	female	c	a
453	127	58	female	c	a
454	123	37	female	c	a
455	120	37	female	g	a
456	123	37	female	c	a
457	122	18	female	e	c
458	119	37	female	g	a
459	134	62	male	j	a
460	136	61	male	g	a
461	135	61	male	g	a
462	140	71	male	g	a
463	131	30	male	c	a
464	137	62	male	g	a
465	136	18	male	g	a
466	132	37	male	g	a
467	135	62	female	g	a
